text_str,ent_phrase,ent_type,ent_start,ent_end,nlp_word,nlp_tag,nlp_type,nlp_pofs,bert_word,bert_entity,bert_score,bert_start,bert_end,is_probe,lr_is_probe,rf_is_probe,hgb_is_probe
rulings,,,,,rulings,NNS,,NOUN,,,,,,False,,,
frank,,,,,,,,,,,,,,False,,,
"the north atlantic
","the North Atlantic
",LOC,28845.0,28864.0,,,,,,,,,,False,,,
urinate,,,,,urinate,VB,,VERB,,,,,,False,,,
"chemical
command","Chemical
Command",ORG,33729.0,33745.0,,,,,,,,,,False,,,
giesbrecht,,,,,Giesbrecht,NNP,ORG,PROPN,,,,,,False,,,
phythere,,,,,phyThere,NN,,NOUN,,,,,,False,,,
sindonian,,,,,Sindonian,JJ,NORP,ADJ,,,,,,False,,,
keegan,,,,,Keegan,NNP,LOC,PROPN,,,,,,False,,,
eliminate threat,Eliminate Threat,ORG,160460.0,160476.0,,,,,,,,,,False,,,
-altered,,,,,-Altered,VBN,ORG,VERB,,,,,,False,,,
internment card,Internment Card,ORG,504944.0,504959.0,,,,,,,,,,False,,,
658,,,,,658,CD,CARDINAL,NUM,,,,,,False,,,
sjt,,,,,SJT,NNP,ORG,PROPN,,,,,,False,,,
reformation,,,,,,,,,,,,,,False,,,
holmes,,,,,Holmes,NNP,ORG,PROPN,,,,,,False,,,
andersen,,,,,Andersen,NNP,ORG,PROPN,,,,,,False,,,
handedly,,,,,handedly,RB,,ADV,,,,,,False,,,
fredericksburg,,,,,Fredericksburg,NNP,GPE,PROPN,,,,,,False,,,
mazzetti,,,,,Mazzetti,NNP,ORG,PROPN,,,,,,False,,,
prevention of combat-related infections guidelines panel prevention,Prevention of Combat-Related Infections Guidelines Panel Prevention,ORG,107290.0,107357.0,,,,,,,,,,False,,,
disaster74,,,,,Disaster74,NNP,,PROPN,,,,,,False,,,
albeit,,,,,albeit,IN,,SCONJ,,,,,,False,,,
nash,,,,,Nash,NNP,,PROPN,,,,,,False,,,
generally,,,,,,,,,,,,,,False,,,
anthony,,,,,,,,,Anthony,I-LOC,0.9937024116516112,901.0,909.0,False,,,
45(pp1–39,,,,,45(pp1–39,LS,CARDINAL,X,,,,,,False,,,
"life,75",,,,,"life,75",VB,,VERB,,,,,,False,,,
general counsel,General Counsel,ORG,443.0,458.0,,,,,,,,,,False,,,
177–190,,,,,177–190,CD,CARDINAL,NUM,,,,,,False,,,
wit stwosz street,Wit Stwosz Street,FAC,79699.0,79716.0,,,,,,,,,,False,,,
nasopharynx,,,,,nasopharynx,NN,TIME,NOUN,,,,,,False,,,
route,,,,,,,,,,,,,,False,,,
reproductive health and research,Reproductive Health and Research,ORG,318591.0,318623.0,,,,,,,,,,False,,,
fatigue,,,,,,,,,,,,,,False,,,
general motors,General Motors,ORG,,,,,,,,,,,,False,,,
stressor/,,,,,Stressor/,NN,,NOUN,,,,,,False,,,
resurgence,,,,,resurgence,NN,,NOUN,,,,,,False,,,
violated,,,,,,,,VERB,,,,,,False,,,
symbolically,,,,,symbolically,RB,,ADV,,,,,,False,,,
until,,,,,,IN,,,,,,,,False,,,
protons,,,,,protons,NNS,,NOUN,,,,,,False,,,
blamed,,,,,blamed,,,VERB,,,,,,False,,,
"the 
hague regulations”","The 
Hague Regulations”",WORK_OF_ART,761250.0,761273.0,,,,,,,,,,False,,,
.emotions,,,,,.Emotions,NNS,,NOUN,,,,,,False,,,
fetch,,,,,fetch,VB,,VERB,,,,,,False,,,
differentially,,,,,differentially,RB,,ADV,,,,,,False,,,
only one,,CARDINAL,,,,,,,,,,,,False,,,
contusions,,,,,contusions,NNS,,NOUN,,,,,,False,,,
ditio,,,,,ditio,NN,,NOUN,,,,,,False,,,
instantaneous,,,,,instantaneous,JJ,,ADJ,,,,,,False,,,
reperfusion,,,,,reperfusion,NN,,NOUN,,,,,,False,,,
lma,,,,,LMA,NNP,,PROPN,,,,,,False,,,
prosthesis,,,,,prosthesis,NN,,NOUN,,,,,,False,,,
coffman,,,,,Coffman,NNP,,PROPN,,,,,,False,,,
amnesty,,,,,,,ORG,,,,,,,False,,,
diener,,,,,Diener,NNP,,PROPN,,,,,,False,,,
seconds,,,,,,NNS,TIME,NOUN,,,,,,False,,,
1772/330,,,,,1772/330,CD,,NUM,,,,,,False,,,
bolster,,,,,bolster,VB,,VERB,,,,,,False,,,
coupled,,,,,,VBN,,VERB,,,,,,False,,,
"the national security structure
uniformed services university","The National Security Structure
Uniformed Services University",ORG,46463.0,46524.0,,,,,,,,,,False,,,
subperspectives,,,,,subperspectives,NNS,,NOUN,,,,,,False,,,
vernichtung,,,,,Vernichtung,NNP,,PROPN,,,,,,False,,,
wanglie,,,,,Wanglie,NNP,,PROPN,,,,,,False,,,
olympic,,,,,Olympic,JJ,EVENT,ADJ,,,,,,False,,,
6110,,,,,6110,CD,,NUM,,,,,,False,,,
broad,,,,,,,,,,,,,,False,,,
matched,,,,,matched,VBN,,VERB,,,,,,False,,,
chart,,,,,,,,,,,,,,False,,,
"49,138",,,,,"49,138",CD,CARDINAL,NUM,,,,,,False,,,
rcm,,,,,RCM,NNP,,PROPN,,,,,,False,,,
dictionary,,,,,,,ORG,,,,,,,False,,,
transcutaneous,,,,,transcutaneous,JJ,,ADJ,,,,,,False,,,
gateway,,,,,Gateway,NN,GPE,NOUN,,,,,,False,,,
cramps,,,,,cramps,NNS,,NOUN,,,,,,False,,,
forewarned,,,,,forewarned,VBN,,VERB,,,,,,False,,,
.................................................,,,,,.................................................,NFP,,PUNCT,,,,,,False,,,
violations of capitulation agreements,Violations of Capitulation Agreements,ORG,677753.0,677790.0,,,,,,,,,,False,,,
eager,,,,,eager,JJ,,ADJ,,,,,,False,,,
692,,,,,692,CD,,NUM,,,,,,False,,,
airway management,Airway Management,ORG,,,,,,,,,,,,True,,,
1978:239(10):951–956,,,,,1978:239(10):951–956,NNP,CARDINAL,PROPN,,,,,,False,,,
rapidity,,,,,rapidity,NN,,NOUN,,,,,,False,,,
detach,,,,,detach,VB,,VERB,,,,,,False,,,
the optimal care of the injured patient,the Optimal Care of the Injured Patient,ORG,81602.0,81641.0,,,,,,,,,,False,,,
transparency,,,,,transparency,NN,,NOUN,,,,,,False,,,
cordoza,,,,,Cordoza,NNP,ORG,PROPN,,,,,,False,,,
park cl,Park CL,ORG,29903.0,29910.0,,,,,,,,,,False,,,
neff,,,,,Neff,NNP,,PROPN,,,,,,False,,,
anne,,,,,Anne,NNP,ORG,PROPN,,,,,,False,,,
precursor,,,,,precursor,NN,,NOUN,,,,,,False,,,
"the publication board, department of commerce","the Publication Board, Department of Commerce",ORG,83099.0,83144.0,,,,,,,,,,False,,,
tolerant,,,,,tolerant,JJ,,ADJ,,,,,,False,,,
evaporates,,,,,evaporates,VBZ,,VERB,,,,,,False,,,
audiology,,,,,,,ORG,,,,,,,False,,,
momentto,,,,,momentto,NN,,NOUN,,,,,,False,,,
rcm 916(f,RCM 916(f,LAW,739531.0,739540.0,,,,,,,,,,False,,,
belief,,,,,,NN,,NOUN,,,,,,False,,,
consequentialist,,,,,consequentialist,NN,,NOUN,,,,,,False,,,
embryos,,,,,embryos,NNS,,NOUN,,,,,,False,,,
united nations treaty series,United Nations Treaty Series,LAW,118029.0,118057.0,,,,,,,,,,False,,,
lawful reprisals,Lawful Reprisals,WORK_OF_ART,740532.0,740548.0,,,,,,,,,,False,,,
manmed,,,,,MANMED,NNP,ORG,PROPN,,,,,,False,,,
19(p5,,,,,19(p5,LS,CARDINAL,X,,,,,,False,,,
114,,,,,114,CD,CARDINAL,NUM,,,,,,False,,,
253,,,,,253,CD,CARDINAL,NUM,,,,,,False,,,
buehring,,,,,Buehring,NNP,FAC,PROPN,,,,,,False,,,
29%,29%,PERCENT,,,,,,,,,,,,False,,,
adv,,,,,Adv,NNP,,PROPN,,,,,,False,,,
wash,,,,,wash,,,,,,,,,False,,,
combat support hospital,Combat Support Hospital,,,,,,,,,,,,,False,,,
working paper,Working Paper,ORG,48840.0,48853.0,,,,,,,,,,False,,,
capitulate,,,,,capitulate,VB,,VERB,,,,,,False,,,
department&department_id=13,,,,,department&department_id=13,NN,,NOUN,,,,,,False,,,
ae,,,,,AE,NNP,,PROPN,,,,,,False,,,
.”3,,,,,.”3,FULL_STOP,,PUNCT,,,,,,False,,,
repellent,,,,,repellent,NN,,NOUN,,,,,,False,,,
sorely,,,,,sorely,RB,,ADV,,,,,,False,,,
"guidelines for communications and documentation 
pcc role","Guidelines for Communications and Documentation 
PCC Role",ORG,61745.0,61802.0,,,,,,,,,,False,,,
standing committee on the scientific evaluation of dietary reference intakes,Standing Committee on the Scientific Evaluation of Dietary Reference Intakes,ORG,45915.0,45991.0,,,,,,,,,,False,,,
jansenist,,,,,Jansenist,,,,,,,,,False,,,
"iv/io 
 
","IV/IO 
 
",ORG,107456.0,107465.0,,,,,,,,,,False,,,
99,,,,,99,CD,,NUM,,,,,,False,,,
cumbrous,,,,,cumbrous,JJ,,ADJ,,,,,,False,,,
"the roles of the physician
if the foundation of modern medicine","The Roles of the Physician
If the foundation of modern medicine",WORK_OF_ART,18610.0,18673.0,,,,,,,,,,False,,,
1987;152(11):545–549,,,,,1987;152(11):545–549,NNP,CARDINAL,PROPN,,,,,,False,,,
4387,,,,,4387,CD,,NUM,,,,,,False,,,
24-6,24-6,CARDINAL,,,,,,,,,,,,False,,,
"”23,24",,,,,"”23,24",DOUBLE_PRIME,,PUNCT,,,,,,False,,,
lewisite,,,,,Lewisite,NNP,,PROPN,,,,,,False,,,
overmastered,,,,,overmastered,VBN,,VERB,,,,,,False,,,
art_and_military,,,,,art_and_military,NNP,,PROPN,,,,,,False,,,
acts,,,,,,,,,,,,,,False,,,
amplification,,,,,amplification,NN,,NOUN,,,,,,False,,,
westerners,,,,,Westerners,NNPS,NORP,PROPN,,,,,,False,,,
succumb,,,,,succumb,VB,,VERB,,,,,,False,,,
wishing,,,,,wishing,VBG,,VERB,,,,,,False,,,
ww ii,WW II,EVENT,116594.0,116599.0,,,,,,,,,,False,,,
willingness,,,,,willingness,NN,,NOUN,,,,,,False,,,
rinder,,,,,Rinder,NN,,NOUN,,,,,,False,,,
look,,,,,,,,,,,,,,False,,,
unlikely,,,,,unlikely,JJ,,ADJ,,,,,,False,,,
infarctions,,,,,infarctions,NNS,,NOUN,,,,,,False,,,
outcannot,,,,,outCannot,RP,ORG,ADP,,,,,,False,,,
mifflin,,,,,Mifflin,NNP,,PROPN,,,,,,False,,,
approximately 11 million,Approximately 11 million,CARDINAL,97486.0,97510.0,,,,,,,,,,False,,,
gatorade,,,,,Gatorade,NNP,,PROPN,,,,,,False,,,
article 10 of protocol ii,Article 10 of Protocol II,LAW,61286.0,61311.0,,,,,,,,,,False,,,
vietnamization,,,,,Vietnamization,NN,,NOUN,,,,,,False,,,
"31,60,61,81",,,,,"31,60,61,81",NNS,,NOUN,,,,,,False,,,
...............................................................................................................,,,,,...............................................................................................................,FULL_STOP,,PUNCT,,,,,,False,,,
2009;46:697–702,,,,,2009;46:697–702,NNP,CARDINAL,PROPN,,,,,,False,,,
hub,,,,,hub,NN,,NOUN,,,,,,False,,,
prophylactic,,,,,,JJ,,ADJ,,,,,,False,,,
7 to 10 seconds,7 to 10 seconds,TIME,25811.0,25826.0,,,,,,,,,,False,,,
democracy,,,,,,,,,,,,,,False,,,
the sterilization law,,LAW,,,,,,,,,,,,False,,,
idea,,,,,idea,NN,,NOUN,,,,,,False,,,
d1&filter=0&i,,,,,d1&filter=0&i,VB,,VERB,,,,,,False,,,
"secretions,63,64,66",,,,,"secretions,63,64,66",NNP,,PROPN,,,,,,False,,,
198,,,,,198,CD,CARDINAL,NUM,,,,,,False,,,
https://hbr.org/2014/09/a-framework-forunderstanding-vuca,,,,,https://hbr.org/2014/09/a-framework-forunderstanding-vuca,NNP,,PROPN,,,,,,False,,,
shortcomings,,,,,shortcomings,NNS,,NOUN,,,,,,False,,,
tricks,,,,,tricks,NNS,,NOUN,,,,,,False,,,
confuses,,,,,confuses,VBZ,,VERB,,,,,,False,,,
documenter,,,,,documenter,NN,,NOUN,,,,,,False,,,
increased,,,,,,,,,,,,,,False,,,
finance,,,,,,,,,,,,,,False,,,
us navy,US Navy,ORG,,,,,,,,,,,,False,,,
hardy,,,,,hardy,JJ,,ADJ,,,,,,False,,,
cultivating,,,,,,VBG,,VERB,,,,,,False,,,
groundcombat,,,,,groundcombat,NN,,NOUN,,,,,,False,,,
operationalmed,,,,,operationalmed,JJ,,ADJ,,,,,,False,,,
stereotype,,,,,stereotype,,,,,,,,,False,,,
"aeromedical services information 
management system","Aeromedical Services Information 
Management System",ORG,17357.0,17408.0,,,,,,,,,,False,,,
https://,,,,,https://,,,,,,,,,False,,,
http://armymedicine.mil/documents/redacted1-mhatv-oif-4-feb-2008report,,,,,http://armymedicine.mil/Documents/Redacted1-MHATV-OIF-4-FEB-2008Report,NN,,NOUN,,,,,,False,,,
prioritized,,,,,prioritized,,,VERB,,,,,,False,,,
fractional,,,,,fractional,JJ,,ADJ,,,,,,False,,,
r44762,,,,,R44762,NNP,,PROPN,,,,,,False,,,
24- hour,24- hour,TIME,134217.0,134225.0,,,,,,,,,,False,,,
she,,,,,,PRP,,PRON,,,,,,False,,,
subcultural,,,,,subcultural,JJ,,ADJ,,,,,,False,,,
hoyt,,,,,Hoyt,NNP,ORG,PROPN,,,,,,False,,,
si,,,,,SI,NNP,ORG,PROPN,,,,,,False,,,
premiums,,,,,premiums,NNS,,NOUN,,,,,,False,,,
vouched,,,,,vouched,VBD,,VERB,,,,,,False,,,
conference,,,,,,,,,,,,,,False,,,
hypothermia prevention,Hypothermia Prevention,ORG,,,,,,,,,,,,False,,,
executive,,,,,,,,,,,,,,False,,,
rechlorinate,,,,,rechlorinate,VB,,VERB,,,,,,False,,,
bibliography,,,,,,,,,,,,,,False,,,
brassey,,,,,Brassey,NNP,,PROPN,,,,,,False,,,
amazement,,,,,amazement,NN,,NOUN,,,,,,False,,,
madden,,,,,,NNP,,PROPN,,,,,,False,,,
"chapter 25
military","Chapter 25
MILITARY",LAW,82.0,101.0,,,,,,,,,,False,,,
noncombatant,,,,,,,,,,,,,,False,,,
behavioral research,Behavioral Research,ORG,,,,,,,,,,,,False,,,
temkin,,,,,Temkin,NNP,,PROPN,,,,,,False,,,
notes,,,,,,,,,,,,,,False,,,
submarine,,,,,,,,,,,,,,False,,,
présents,,,,,présents,NNS,,NOUN,,,,,,False,,,
documented medical and psychological benefits,Documented Medical and Psychological Benefits,ORG,31972.0,32017.0,,,,,,,,,,False,,,
outfitting,,,,,,NN,,NOUN,,,,,,False,,,
bloodbrain,,,,,bloodbrain,NN,,NOUN,,,,,,False,,,
the territories of the parties,the Territories of the Parties,LOC,10552.0,10582.0,,,,,,,,,,False,,,
man-hours,man-hours,TIME,31640.0,31649.0,,,,,,,,,,False,,,
reversible,,,,,,JJ,,ADJ,,,,,,False,,,
pathological,,,,,,,,,,,,,,False,,,
category/2512.html,,,,,category/2512.html,NNS,,NOUN,,,,,,False,,,
petrali jp,Petrali JP,ORG,84810.0,84820.0,,,,,,,,,,False,,,
strongest,,,,,strongest,JJS,,ADJ,,,,,,False,,,
crematorium,,,,,crematorium,NN,,NOUN,,,,,,False,,,
defeated,,,,,,,,VERB,,,,,,False,,,
dissections,,,,,dissections,NNS,,NOUN,,,,,,False,,,
•burns,,,,,•Burns,NNS,,NOUN,,,,,,False,,,
thorough,,,,,,JJ,,ADJ,,,,,,False,,,
86%,86%,PERCENT,,,,,,,,,,,,False,,,
fined,,,,,fined,,,VERB,,,,,,False,,,
berlin university,Berlin University,ORG,66408.0,66425.0,,,,,,,,,,False,,,
suites,,,,,suites,NNS,,NOUN,,,,,,False,,,
guest scientist,Guest Scientist,ORG,858.0,873.0,,,,,,,,,,False,,,
secretariat,,,,,,NNP,ORG,PROPN,,,,,,False,,,
”1(p3,,,,,”1(p3,NNP,,PROPN,,,,,,False,,,
https://deployedmedicine.com/market/31/content/40,,,,,https://deployedmedicine.com/market/31/content/40,NNP,,PROPN,,,,,,False,,,
immediacy,,,,,,NN,,NOUN,,,,,,False,,,
performance nutrition,Performance Nutrition,,,,,,,,,,,,,False,,,
pellets,,,,,pellets,NNS,,NOUN,,,,,,False,,,
respiratory,,,,,,,,,,,,,,False,,,
salute,,,,,salute,,,,,,,,,False,,,
acutely,,,,,acutely,RB,,ADV,,,,,,False,,,
the superior court,,ORG,,,,,,,,,,,,False,,,
ws,,,,,WS,NNP,,PROPN,,,,,,False,,,
narrative,,,,,,,,,,,,,,False,,,
manifest destiny,Manifest Destiny,GPE,39218.0,39234.0,,,,,,,,,,False,,,
marking,,,,,,,,,,,,,,False,,,
"hypothermia prevention
minimize","Hypothermia Prevention
Minimize",ORG,12542.0,12573.0,,,,,,,,,,False,,,
"15,000 ft","15,000 ft",QUANTITY,17365.0,17374.0,,,,,,,,,,False,,,
sleek,,,,,sleek,JJ,,ADJ,,,,,,False,,,
margins,,,,,margins,NNS,,NOUN,,,,,,False,,,
antibiotics,,,,,,,,,,,,,,False,,,
1935,,,,,1935,CD,CARDINAL,NUM,,,,,,False,,,
someday,,,,,someday,RB,,ADV,,,,,,False,,,
"medicine, national academy press","Medicine, National Academy Press",ORG,106776.0,106808.0,,,,,,,,,,False,,,
installed,,,,,installed,VBN,,VERB,,,,,,False,,,
”64(p17,,,,,”64(p17,NFP,,PUNCT,,,,,,False,,,
sept,,,,,Sept,NNP,,PROPN,,,,,,False,,,
reinstated,,,,,reinstated,VBD,,VERB,,,,,,False,,,
flexibility,,,,,,,,,,,,,,False,,,
fst,,,,,FST,NNP,ORG,PROPN,,,,,,False,,,
1984;12(4):150–155,,,,,1984;12(4):150–155,LS,CARDINAL,X,,,,,,False,,,
augmenting,,,,,augmenting,VBG,,VERB,,,,,,False,,,
where,,,,,,WRB,,SCONJ,,,,,,False,,,
aftermath,,,,,,,,,,,,,,False,,,
determine,,,,,,,,,,,,,,False,,,
hopefully,,,,,hopefully,RB,,ADV,,,,,,False,,,
world war i. incapacitating,World War I. Incapacitating,EVENT,4777.0,4804.0,,,,,,,,,,False,,,
elkonin,,,,,Elkonin,NNP,,PROPN,,,,,,False,,,
1953;117:212–215,,,,,1953;117:212–215,CD,CARDINAL,NUM,,,,,,False,,,
•radiograph,,,,,•Radiograph,VB,,VERB,,,,,,False,,,
abdominal,,,,,,,,,,,,,,False,,,
https://www.washingtonpost.com/news/the-switch/wp/2016/02/17/why-naval-academy-students-are-learningto-sail-by-the-stars-for-the-first-time-in-a-decade/?utm_term=.ebee5a6caea0,,,,,https://www.washingtonpost.com/news/the-switch/wp/2016/02/17/why-naval-academy-students-are-learningto-sail-by-the-stars-for-the-first-time-in-a-decade/?utm_term=.ebee5a6caea0,NN,,NOUN,,,,,,False,,,
latency,,,,,latency,NN,,NOUN,,,,,,False,,,
730,,,,,730,CD,CARDINAL,NUM,,,,,,False,,,
unburned,,,,,unburned,JJ,,ADJ,,,,,,False,,,
1989;37(1):45–49,,,,,1989;37(1):45–49,CD,CARDINAL,NUM,,,,,,False,,,
al. health,al. Health,ORG,29726.0,29736.0,,,,,,,,,,False,,,
retention,,,,,,,,,,,,,,False,,,
mission command,Mission Command,ORG,143549.0,143564.0,,,,,,,,,,False,,,
dietary,,,,,,,,,,,,,,False,,,
rode,,,,,rode,VBD,,VERB,,,,,,False,,,
15–30,,,,,15–30,CD,CARDINAL,NUM,,,,,,False,,,
"traumatic amputation 
present","Traumatic Amputation 
Present",WORK_OF_ART,19989.0,20018.0,,,,,,,,,,False,,,
15(pp57–82,,,,,15(pp57–82,CD,,NUM,,,,,,False,,,
elkadi,,,,,Elkadi,NNP,,PROPN,,,,,,False,,,
denouncing,,,,,denouncing,,,,,,,,,False,,,
2018;85(1s,,,,,2018;85(1S,NNP,,PROPN,,,,,,False,,,
cranial,,,,,,,,,,,,,,False,,,
bays,,,,,bays,NNS,,NOUN,,,,,,False,,,
standards,,,,,,,,,,,,,,False,,,
bloused,,,,,bloused,VBN,,VERB,,,,,,False,,,
invoking,,,,,invoking,VBG,,VERB,,,,,,False,,,
barillo dj,Barillo DJ,ORG,84822.0,84832.0,,,,,,,,,,False,,,
article 23(e,Article 23(e,LAW,,,,,,,,,,,,False,,,
oppressing,,,,,oppressing,VBG,,VERB,,,,,,False,,,
stops,,,,,,,,,,,,,,False,,,
genome med,Genome Med,ORG,68072.0,68082.0,,,,,,,,,,False,,,
eugenik,,,,,Eugenik,NNP,ORG,PROPN,,,,,,False,,,
health systems research inc.,Health Systems Research Inc.,ORG,104105.0,104133.0,,,,,,,,,,False,,,
view,,,,,,,,,,,,,,False,,,
1972;16:718,,,,,1972;16:718,NNP,CARDINAL,PROPN,,,,,,False,,,
murray,,,,,Murray,NNP,,PROPN,,,,,,False,,,
3-121,3-121,CARDINAL,347071.0,347076.0,,,,,,,,,,False,,,
595,,,,,595,CD,CARDINAL,NUM,,,,,,False,,,
"directed 
investigation","Directed 
Investigation",ORG,93166.0,93189.0,,,,,,,,,,False,,,
member‘s,,,,,member‘s,NNS,,NOUN,,,,,,False,,,
929,,,,,929,CD,CARDINAL,NUM,,,,,,False,,,
decayed,,,,,decayed,VBN,,VERB,,,,,,False,,,
"vapor
exposure level","VAPOR
Exposure Level",ORG,15653.0,15673.0,,,,,,,,,,False,,,
dovetails,,,,,dovetails,VBZ,,VERB,,,,,,False,,,
article 95,Article 95,LAW,489728.0,489738.0,,,,,,,,,,False,,,
1991;36,,,,,1991;36,CD,,NUM,,,,,,False,,,
company,,,,,,,,,,,,,,False,,,
interested,,,,,interested,JJ,,ADJ,,,,,,False,,,
rapidacting,,,,,rapidacting,VBG,,VERB,,,,,,False,,,
anaerobic,,,,,anaerobic,JJ,,ADJ,,,,,,False,,,
plangent,,,,,plangent,JJ,,ADJ,,,,,,False,,,
balloon,,,,,balloon,NN,,NOUN,,,,,,False,,,
sword,,,,,sword,NN,,NOUN,,,,,,False,,,
gave,,,,,gave,VBD,,VERB,,,,,,False,,,
frowned,,,,,frowned,VBN,,VERB,,,,,,False,,,
article 134’s,Article 134’s,LAW,26115.0,26128.0,,,,,,,,,,False,,,
47a.,,,,,47A.,NN,CARDINAL,NOUN,,,,,,False,,,
"the security assistance
forces","the Security Assistance
Forces",ORG,46315.0,46345.0,,,,,,,,,,False,,,
usamrmc,,,,,USAMRMC,NNP,GPE,PROPN,,,,,,False,,,
delicacy,,,,,delicacy,NN,,NOUN,,,,,,False,,,
speeding,,,,,speeding,VBG,,VERB,,,,,,False,,,
collaborates,,,,,collaborates,VBZ,,VERB,,,,,,False,,,
contaminants,,,,,contaminants,NNS,,NOUN,,,,,,False,,,
• •direct,• •Direct,PRODUCT,83912.0,83921.0,,,,,,,,,,False,,,
ageappropriate,,,,,ageappropriate,JJ,,ADJ,,,,,,False,,,
cath,,,,,cath,NN,,NOUN,,,,,,False,,,
interdiction,,,,,interdiction,NN,,NOUN,,,,,,False,,,
"the national security
industrial association medical technology education conference","the National Security
Industrial Association Medical Technology Education Conference",ORG,17402.0,17486.0,,,,,,,,,,False,,,
w/,,,,,w/,NN,,NOUN,,,,,,False,,,
coppes vg,Coppes VG,GPE,101176.0,101185.0,,,,,,,,,,False,,,
pursue,,,,,pursue,,,VERB,,,,,,False,,,
1980;14a:683–685,,,,,1980;14A:683–685,NNP,,PROPN,,,,,,False,,,
underunderstand,,,,,underunderstand,VB,,VERB,,,,,,False,,,
http://www.afip.org/departments/oafme/dna/history.htm,,,,,http://www.afip.org/Departments/oafme/dna/history.htm,CD,,NUM,,,,,,False,,,
442,,,,,442,CD,CARDINAL,NUM,,,,,,False,,,
abetting,,,,,,,,,,,,,,False,,,
the ethics of war and peace: an introduction to legal,The Ethics of War and Peace: An Introduction to Legal,ORG,117814.0,117867.0,,,,,,,,,,False,,,
chapter 10,Chapter 10,LAW,,,,,,,,,,,,False,,,
infinite,,,,,infinite,JJ,,ADJ,,,,,,False,,,
sustainable,,,,,,JJ,,ADJ,,,,,,False,,,
codes1,,,,,codes1,NN,,NOUN,,,,,,False,,,
respiration,,,,,,,,,,,,,,False,,,
"gastric 
tubes","Gastric 
Tubes",ORG,185614.0,185628.0,,,,,,,,,,False,,,
patriots,,,,,Patriots,NNS,,NOUN,,,,,,False,,,
the medical service corps,,ORG,,,,,,,,,,,,False,,,
waste,,,,,,,,,,,,,,False,,,
14,,,,,14,,,,,,,,,False,,,
0700,,,,,0700,CD,,NUM,,,,,,False,,,
"national
institutes of health, public health service","National
Institutes of Health, Public Health Service",ORG,47321.0,47373.0,,,,,,,,,,False,,,
effluent,,,,,effluent,NN,,NOUN,,,,,,False,,,
monthold,,,,,monthold,NN,,NOUN,,,,,,False,,,
boy,,,,,boy,NN,,NOUN,,,,,,False,,,
interesting,,,,,interesting,JJ,,ADJ,,,,,,False,,,
ugly,,,,,ugly,JJ,,ADJ,,,,,,False,,,
intrinsic,,,,,,,,,,,,,,False,,,
searle,,,,,Searle,NNP,ORG,PROPN,,,,,,False,,,
lookout,,,,,lookout,NN,,NOUN,,,,,,False,,,
the current war,THE CURRENT WAR,EVENT,80619.0,80634.0,,,,,,,,,,False,,,
trilateral,,,,,trilateral,JJ,,ADJ,,,,,,False,,,
olubunmi,,,,,Olubunmi,NNP,ORG,PROPN,,,,,,False,,,
1984;310(8):497–500,,,,,1984;310(8):497–500,CD,CARDINAL,NUM,,,,,,False,,,
interrogation of lieutenant colonel,Interrogation of Lieutenant Colonel,ORG,154491.0,154526.0,,,,,,,,,,False,,,
gastrostomy,,,,,gastrostomy,JJ,,ADJ,,,,,,False,,,
prudential,,,,,Prudential,NNP,ORG,PROPN,,,,,,False,,,
"the international committee of the red 
cross","the International Committee of the Red 
Cross",ORG,39758.0,39803.0,,,,,,,,,,False,,,
formalities,,,,,formalities,NNS,,NOUN,,,,,,False,,,
vertebrae,,,,,vertebrae,NN,,NOUN,,,,,,False,,,
marry,,,,,marry,,,,,,,,,False,,,
sturm,,,,,Sturm,NNP,ORG,PROPN,,,,,,False,,,
18(p147,,,,,18(p147,ADD,,X,,,,,,False,,,
preprogrammed,,,,,preprogrammed,VBN,,VERB,,,,,,False,,,
maximizes,,,,,maximizes,VBZ,,VERB,,,,,,False,,,
perel,,,,,Perel,NNP,ORG,PROPN,,,,,,False,,,
"professionalism,12",,,,,"Professionalism,12",NNP,,PROPN,,,,,,False,,,
threatened,,,,,threatened,,,,,,,,,False,,,
the dod law of war manual,,LAW,,,,,,,,,,,,False,,,
shuichi,,,,,Shuichi,NNP,ORG,PROPN,,,,,,False,,,
resolution,,,,,,,,,,,,,,False,,,
harbin historical chronicle,Harbin Historical Chronicle,ORG,155348.0,155375.0,,,,,,,,,,False,,,
definition of research,Definition of Research,ORG,37973.0,37995.0,,,,,,,,,,False,,,
weintrob,,,,,Weintrob,NNP,ORG,PROPN,,,,,,False,,,
tive,,,,,tive,NN,,NOUN,,,,,,False,,,
"health,10(p593),37",,,,,"health,10(p593),37",NNP,ORG,PROPN,,,,,,False,,,
6-18,6-18,CARDINAL,577997.0,578001.0,,,,,,,,,,False,,,
132032,,,,,132032,CD,,NUM,,,,,,False,,,
"the
1972 convention on the prohibition of the development, production","the
1972 Convention on the Prohibition of the Development, Production",ORG,60022.0,60091.0,,,,,,,,,,False,,,
burris,,,,,Burris,NNP,GPE,PROPN,,,,,,False,,,
"mdmp)2
navy","MDMP)2
NAVY",ORG,6905.0,6916.0,,,,,,,,,,False,,,
charitable,,,,,,,,,,,,,,False,,,
”17(p47,,,,,”17(p47,DOUBLE_PRIME,,PUNCT,,,,,,False,,,
sully,,,,,sully,RB,,ADV,,,,,,False,,,
the golden hour,,,,,,,,,,,,,,False,,,
disqualifies,,,,,disqualifies,,,,,,,,,False,,,
